Number of reviews,Last Review Date,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Reviews per month
2,8/29/15,90,9,10,8,8,9,9,0.08
3,2009-09-17,87,9,10,10,10,10,8,0.27
6,7/26/16,100,10,10,10,10,10,10,0.28
15,2005-07-17,100,10,10,10,10,9,10,0.79
45,2005-08-17,94,10,10,9,10,10,10,1.4
2,7/24/16,70,7,5,10,10,10,7,0.18
7,2006-04-17,94,10,10,10,10,9,9,2.02
5,1/29/17,100,10,10,10,10,10,10,0.49
18,12/13/16,97,10,10,10,10,9,10,1.73
3,2009-12-16,73,7,9,7,8,8,8,0.43
1,2009-07-16,100,10,10,10,8,8,8,0.12
27,4/30/17,98,10,10,10,10,10,10,1.26
1,2007-02-16,100,10,10,10,10,10,10,0.11
28,2007-08-16,93,9,9,9,10,8,10,1.24
19,2008-11-15,92,9,9,9,9,8,9,0.81
2,9/25/16,100,10,10,10,10,10,10,0.18
5,7/16/16,96,10,10,10,10,9,10,1.52
11,7/14/16,84,8,9,9,9,8,8,1.38
22,7/30/16,93,9,10,10,10,9,9,4.89
3,11/25/15,73,8,8,7,8,9,7,0.13
6,11/29/15,84,8,9,8,8,9,8,0.63
4,11/16/15,65,6,7,7,7,8,5,0.37
20,4/21/16,76,8,8,9,9,9,8,0.75
3,7/16/16,100,10,10,10,10,9,10,1.61
4,2004-05-16,85,9,10,10,10,8,8,0.55
5,2007-05-16,92,10,8,10,10,9,9,0.59
1,7/25/16,40,2,8,2,6,2,2,1
3,2008-03-16,87,9,7,8,9,10,7,2.57
23,2008-03-16,95,9,10,10,10,10,9,5.31
2004-06-16,77,8,7,9,9,10,7,0.75,
44,2008-04-16,92,9,9,10,10,10,9,4.46
1,12/14/14,80,10,8,8,10,10,8,0.05
1,2002-09-17,80,10,10,10,10,8,10,1
20,7/31/16,90,8,10,10,10,10,9,4.41
3,2/15/16,80,9,9,9,9,9,7,0.29
19,7/25/16,84,8,9,9,9,9,9,2.59
1,11/27/15,40,6,4,8,8,8,6,0.12
46,7/29/16,87,9,9,9,9,10,9,2.73
25,6/23/16,87,9,8,9,10,9,9,2.55
86,2002-08-17,89,9,9,9,9,9,9,5.19
6,8/26/15,77,8,7,9,9,8,7,0.28
14,7/17/16,90,10,9,10,9,9,9,1.58
3,4/30/16,93,10,10,10,10,10,9,0.41
5,3/28/16,96,10,10,10,10,10,10,0.91
18,2007-08-16,93,10,9,9,10,9,9,1.88
2,2005-01-16,50,4,5,6,8,5,5,0.34
4,5/14/16,95,10,10,10,10,10,9,0.42
4,2001-05-16,75,8,8,8,8,9,7,0.33
5,2005-01-16,80,9,9,10,10,8,8,0.47
66,4/24/17,90,9,9,10,10,10,9,3.15
94,2002-08-17,92,10,10,10,9,10,10,5.85
7,2/25/17,88,9,9,10,10,10,9,1.44
8,2008-01-16,93,10,8,9,10,10,9,3.64
17,7/17/16,87,9,9,9,10,10,9,0.62
1,4/13/16,60,8,8,8,10,10,8,0.26
1,2007-10-16,100,10,10,10,8,8,10,1
12,7/23/16,88,9,8,9,9,10,9,0.85
5,7/25/16,96,10,10,10,10,10,10,1.53
8,4/17/16,85,10,10,10,10,10,9,0.75
36,7/23/16,93,10,9,9,10,9,9,3.74
2,2007-05-16,100,10,10,10,10,10,9,1
49,2005-10-16,86,8,9,9,9,9,9,1.84
60,2/18/17,89,9,9,9,10,9,9,5.11
10,3/24/16,96,10,9,10,10,10,10,1.59
29,2/23/17,93,9,9,10,10,9,9,1.55
16,12/29/15,90,9,9,10,10,9,9,0.59
59,7/20/16,88,9,9,9,9,9,9,4.29
2,7/19/16,60,7,4,6,6,9,6,2
3,2001-03-15,93,9,9,9,10,8,9,0.11
15,7/20/16,85,8,9,10,10,10,9,3.28
5,4/24/16,92,9,9,9,10,10,10,0.94
1,7/18/16,20,2,2,6,6,8,4,1
7,2006-04-16,80,8,8,7,7,10,9,0.8
5,2008-04-16,100,10,9,10,10,9,10,5
7,1/27/17,91,9,9,10,9,9,9,0.85
11,6/21/16,85,9,9,10,9,9,9,0.8
18,2005-02-16,92,9,9,10,10,10,9,0.76
5,2005-02-16,88,8,8,9,9,9,8,0.22
22,2004-05-15,89,9,10,10,10,10,9,0.85
29,7/31/16,92,9,9,10,10,10,9,2.96
75,6/22/16,90,9,9,10,10,10,9,6.32
17,2007-02-16,93,10,10,10,10,10,9,1.91
1,7/18/16,60,6,6,8,8,8,6,1
12,4/14/16,82,9,9,9,9,9,9,1.32
6,2004-11-16,87,9,9,9,9,9,9,1
2,2012-04-16,90,10,9,9,10,10,10,0.39
54,2/13/17,86,9,9,9,9,9,9,4.04
4,2006-08-16,75,7,6,10,9,9,9,0.41
27,7/13/16,89,9,9,9,9,10,9,2.42
10,2008-05-16,94,9,9,10,10,10,9,1.22
